"","Source_ID","Study_name","SS"
"80991","AD1_2011__Power","Power_quadrat","AD1_2011__Power 2"
"93098","AD1_2012__Yamaura","plants","AD1_2012__Yamaura 3"
"126648","BS1_2009__Firincioglu","Steppe grazing","BS1_2009__Firincioglu 1"
"139772","CC1_2006__Norton","Plant sampling","CC1_2006__Norton 1"
"363164","CM1_2007__MarinSpiotta","Spiotta2007 tropical reforestation","CM1_2007__MarinSpiotta 1"
"365594","CM1_2009__Letcher","Forest recovery Costa Rica","CM1_2009__Letcher 1"
"380210","CM1_2010__Baeten","Baeten Belgium vegetation recovery","CM1_2010__Baeten 1"
"386744","CM1_2010__Berry","Berry Borneo trees 2.5cm","CM1_2010__Berry 1"
"404052","CM1_2010__Berry","Berry Borneo trees 30cm","CM1_2010__Berry 2"
"408770","CM1_2012__Katovai","Understory plants, Solomon Islands","CM1_2012__Katovai 1"
"431769","DB1_2004__Helden","Grassland plants","DB1_2004__Helden 3"
"477722","DI1_2010__Milder","Honduras Vegetation","DI1_2010__Milder 1"
"553071","DI1_2013__deLima","Sao Tome Trees","DI1_2013__deLima 2"
"597322","DL1_2009__Barquero","Small Palms","DL1_2009__Barquero 1"
"597349","DL1_2009__Barquero","Medium Palms","DL1_2009__Barquero 2"
"597391","DL1_2009__Barquero","Large Palms","DL1_2009__Barquero 3"
"643529","DL1_2010__Carvalho","Palm trees","DL1_2010__Carvalho 1"
"643581","DL1_2010__Castro","Montado","DL1_2010__Castro 1"
"659130","DL1_2012__Dominguez","Peatland","DL1_2012__Dominguez 1"
"659178","DL1_2012__Hernandez","Large Plants","DL1_2012__Hernandez 1"
"663496","DL1_2012__Siebert","S.Africa_Grassland_Plants","DL1_2012__Siebert 1"
"751723","FE1_2015__Davies","Mileura","FE1_2015__Davies 1"
"757411","GP1_2008__Shannon","Trees","GP1_2008__Shannon 1"
"758290","GP1_2009__Devineau","Trees","GP1_2009__Devineau 1"
"839966","HP1_2004__Krauss","Plants_Krauss","HP1_2004__Krauss 1"
"850926","HP1_2005__Kessler","Trees","HP1_2005__Kessler 1"
"877119","HP1_2007c_Barlow","Trees and lianas","HP1_2007c_Barlow 6"
"911082","HP1_2009__Hylander","Trees and shrubs","HP1_2009__Hylander 2"
"921640","HP1_2009__Kessler","Lianas and Herbs","HP1_2009__Kessler 4"
"928487","HP1_2010__Krauss","Spain_plants","HP1_2010__Krauss 2"
"939565","HP1_2010__Krauss","Estonia_Plants","HP1_2010__Krauss 4"
"947228","HP1_2010__Schmitt","Woody_species","HP1_2010__Schmitt 1"
"1026808","HW1_2011__Brunet","Brunet plants","HW1_2011__Brunet 1"
"1125782","HW1_2012__Fensham","Fensham plants 07","HW1_2012__Fensham 1"
"1333250","MG1_2006__Baur","Baur06_Plants","MG1_2006__Baur 4"
"1350165","MG1_2008__Boutin","Boutin08_Plants","MG1_2008__Boutin 1"
"1351561","MG1_2008__Buscardo","Buscardo08_Plants","MG1_2008__Buscardo 1"
"1356398","MG1_2009__Dumont","DumontPL02-06","MG1_2009__Dumont 2"
"1361319","MG1_2011__Vassilev","Vassilev_Plants","MG1_2011__Vassilev 1"
"1424779","MH1_2011__Phalan","Phalan_trees","MH1_2011__Phalan 2"
"1585262","SC1_2004__Kolb","Herbaceous plants Germany","SC1_2004__Kolb 1"
"1643492","SC1_2006__Mayfield","Mayfield_Costa Rica","SC1_2006__Mayfield 1"
"1716773","SC1_2009__Christensen","Nepal","SC1_2009__Christensen 1"
"1745705","SC1_2009__Williams","Plants Turloughs Irleand","SC1_2009__Williams 2"
"1747844","SC1_2010__Baeten","Ancient and post agricultural forests_Belgium","SC1_2010__Baeten 1"
"1802932","SC1_2011__Bakayoko","Ivory Coast Flora","SC1_2011__Bakayoko 1"
"1857325","SC1_2011__Brearley","BorneoSecondaryVeg","SC1_2011__Brearley 1"
"1930536","SC1_2012__Barrico","Coimbra Shrubs","SC1_2012__Barrico 2"
"1931220","SC1_2012__Barrico","Coimbra Herbaceous","SC1_2012__Barrico 3"
"1934078","SC1_2012__GendreauBerthiaume","Boreal mixedwoods","SC1_2012__GendreauBerthiaume 1"
"1934371","SC1_2012__Power","Power_Plants","SC1_2012__Power 1"
"1937551","SC1_2013__Alignier","Forest Edge-Plants","SC1_2013__Alignier 1"
